chunk,reservoirs,water bodies,reservoir coordinates,,,,,water body coordinates,,,,,,
0,0,0,,,,,,,,,,,,
1,1,0,[134.392 134.706 143.498 147.58 ],,,,,,,,,,,
2,0,0,,,,,,,,,,,,
3,0,0,,,,,,,,,,,,
4,0,1,,,,,,[73.79  69.08  92.316 84.152],,,,,,
5,0,0,,,,,,,,,,,,
6,0,0,,,,,,,,,,,,
7,0,0,,,,,,,,,,,,
8,0,0,,,,,,,,,,,,
9,0,0,,,,,,,,,,,,
10,0,0,,,,,,,,,,,,
11,0,0,,,,,,,,,,,,
12,0,3,,,,,,[106.76    5.652 122.46   17.584],[71.906  1.57  78.814 10.362],[ 92.63    0.628 102.678   6.28 ],,,,
13,1,1,[ 96.398  90.746 102.364 101.422],,,,,[ 99.224 112.098 116.808 126.856],,,,,,
14,0,1,,,,,,[ 71.278 144.44   84.78  151.348],,,,,,
15,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
16,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
17,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
18,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
19,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
20,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
21,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
22,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
23,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
24,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
25,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
26,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
27,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
28,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
29,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
30,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
31,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
32,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
33,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
34,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
35,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
36,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
37,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
38,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
39,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
40,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
41,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
42,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
43,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
44,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
45,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
46,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
47,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
48,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
49,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
50,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
51,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
52,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
53,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
54,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
55,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
56,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
57,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
58,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
59,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
60,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
61,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
62,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
63,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
64,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
65,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
66,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
67,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
68,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
69,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
70,0,0,,,,,,,,,,,,
71,2,0,[ 61.858 122.774  69.394 130.938],[ 49.926 132.822  65.312 141.928],,,,,,,,,,
72,1,0,[ 60.602  92.316  72.22  103.62 ],,,,,,,,,,,
73,0,1,,,,,,[128.112  43.332 138.474  55.892],,,,,,
74,0,0,,,,,,,,,,,,
75,0,1,,,,,,[57.148 81.012 63.428 87.92 ],,,,,,
76,0,0,,,,,,,,,,,,
77,0,0,,,,,,,,,,,,
78,0,1,,,,,,[79.756 48.67  84.78  55.892],,,,,,
79,0,0,,,,,,,,,,,,
80,0,0,,,,,,,,,,,,
81,0,0,,,,,,,,,,,,
82,0,3,,,,,,[76.616 44.588 87.92  55.578],[125.6    55.892 129.368  63.114],[146.01   99.224 149.778 103.306],,,,
83,0,0,,,,,,,,,,,,
84,0,1,,,,,,[26.69  40.192 31.714 46.786],,,,,,
85,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
86,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
87,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
88,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
89,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
90,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
91,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
92,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
93,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
94,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
95,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
96,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
97,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
98,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
99,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
100,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
101,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
102,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
103,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
104,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
105,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
106,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
107,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
108,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
109,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
110,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
111,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
112,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
113,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
114,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
115,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
116,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
117,0,1,,,,,,[  0.   0. 157. 157.],,,,,,
